titulo,qualis,pontos,ano_publicacao
"AutopercepÃ§Ã£o de idosos a respeito de suas condiÃ§Ãµes auditivas, de sua escuta e de suas estratÃ©gias de comunicaÃ§Ã£o",B2,50.0,2019
Quality of life in deaf sign language users in southern brazil psychological domain,A4,70.0,2019
Prevalence of aphasia after stroke in a hospital population in southern Brazil: a retrospective cohort study,A1,100.0,2019
Autonomy and participatory aging: a dialogical practice,B1,60.0,2019
Análise das publicações brasileiras sobre afasia a partir de um enfoque sociointeracionista: tendências e perspectivas,B3,40.0,2019
Atendimento Fonoaudiológico em uma clínica-escola: uma percepção de usuários,B1,60.0,2019
The impact of group therapy for aphasia on quality of life,A1,100.0,2018
Sentidos de Envelhecimento e motivos para a procura da Universidade Aberta para a Terceira Idade,B1,60.0,2018
Depressive symptoms in elderly living only or accompanied: the impact of hearing protection,B2,50.0,2017
Impact of Orthodontic Surgical Treatment on Quality of Life: a Meta-Analysis,A1,100.0,2020
Efficiency of aerobic physical exercise in chronic orofacial pain: A systematic review,C,0.0,2020
"Diagnosis, oral rehabilitation and multidisciplinary approach of a patient with a severely worn dentition and reduced occlusal vertical dimension",B3,40.0,2020
"Influence of Temporomandibular Disorder in the Stomatognatic System: Electromyography, Mandibular Movements and Articular Sounds Analysis",B4,30.0,2020
Management of chronic orofacial pain in pandemic of COVID-19,C,0.0,2020
The Prevalence of Temporomandibular Disorder and Chronicle Pain in Patients using Full and Partial Prosthesiss Attended at UNOESC Clinics,C,0.0,2019
Mandibular Asymmetry in Patients with Temporomandibular Disorder: Comparative Study between Frontal Teleradiography and Panoramic  Radiography,C,0.0,2019
Temporomandibular dysfunction and tinnitus the knowledge of the dental surgeon in primary health care,B1,60.0,2019
Quality of Life in Adults with Orofacial Pain:  a Longitudinal Approach,C,0.0,2019
Diagnostic validity of methods for assessment of swallowing sounds: a systematic review,A3,80.0,2018
Diagnostic validity of computed tomography to assess degenerative temporomandibular joint disease: a systematic review,A2,90.0,2018
As Diferentes Percepcões sobre Placas Oclusais,C,0.0,2018
Evaluation of Sleep Quality and Relationship with Orofacial Dysfunction in Children,B3,40.0,2018
WITHDRAWN: Ilex paraguariensis extract as a potential alternative to conventional drugs for orofacial pain,A3,80.0,2017
PROMOÇÃO DO LETRAMENTO VERSUS MEDICALIZAÇÃO NO ENSINO SUPERIOR: CONTRIBUIÇÕES DE UMA ABORDAGEM FONOAUDIOLÓGICA,A1,100.0,2020
Estudo da prevalência das variedades morfológicas de fissuras labiopalatinas em um centro médico terciário,B4,30.0,2020
Correlation between Type of Clefting and the Incidence of Otitis Media among Children with Lip and/or Palate Clefts,B1,60.0,2019
CranFlow</i> : An Application for Record-Taking and Management Through the Brazilian Database on Craniofacial Anomalies,A4,70.0,2018
The Use of Exergames in the Neurorehabilitation of People with Parkinson Disease: The Impact on Daily Life,B1,60.0,2020
Presentation and Evaluation of the Teacher's Vocal Health Guide,A2,90.0,2020
Mandibular Asumemetry in Patients With Temporomandibular Disorder: Comparativr Study Between Posteroante,C,0.0,2019
Systematic review Impact of orthodontic-surgical treatment on quality of life: a meta-analysis,A1,100.0,2019
Conteúdos didáticos nas intervenções de saúde vocal do professor: uma revisão integrativa,B2,50.0,2018
Análise acústica do tempo de deglutição através do Sonar Doppler,B1,60.0,2017
Correlation of Dysfunction and Clinical Recovery in Ischemic Stroke,C,0.0,2017
Brazilian Child Protection Professionals? Resilient Behavior during the COVID-19 Pandemic,A1,100.0,2020
"Child Maltreatment in the Time of the COVID-19 Pandemic: A Proposed Global Framework on Research, Policy and Practice",A1,100.0,2020
Jealousy and anxiety in male domestic abusers: A comparative study,A1,100.0,2019
International Comparison of Family Court Professionals? Perceptions of Parental Alienation and Child Sexual Abuse Allegations,B2,50.0,2019
Judgments regarding parental alienation when parental hostility or child sexual abuse is alleged,A4,70.0,2018
"Resiliência e a promoção do desenvolvimento saudável na infância, adolescência e adultez: novas discussões dos conceitos psicológicos",B1,60.0,2018
Questionário sobre violência intrafamiliar: confiabilidade de um instrumento sobre crenças,A2,90.0,2017
Investigação do conhecimento de professores de escolas regulares de uma região do Distrito Federal sobre o sistema de frequência modulada,B1,60.0,2020
Electroacoustic verification of frequency modulation systems in cochlear implant users,A3,80.0,2019
Planilha de triagem acústica da sala de aula: tradução e adaptação cultural para o Português Brasileiro,B1,60.0,2017
PROMOÇÃO DE SAÚDE DE IDOSOS RESIDENTES EM INSTITUIÇÕES DE LONGA PERMANÊNCIA: UMA PESQUISA DIALÓGICA,B1,60.0,2020
QUALIDADE DE VIDA DE SURDOS USUÁRIOS DE LIBRAS NO SUL DO BRASIL,B1,60.0,2020
Lack of communication in families of deaf brazilian,N,,2020
Brazilian Scale of Hearing and Language Development: Normality Curve for Infants and Children from 0 to 24 Months Old with Normal Hearing,B1,60.0,2019
Escala de desenvolvimento auditivo e de linguagem na criança implantada,B1,60.0,2018
Qualidade de vida do profissional intérprete de língua de sinais,B2,50.0,2017
Adult Perfomance on the Sustained Auditory Attention Skill Test,B1,60.0,2020
Elaboration of an instrument to evaluate the recognition of Brazilian melodies in children,A3,80.0,2019
Sleep quality and communication aspects in children,A4,70.0,2017
