titulo,qualis,pontos,ano_publicacao
Efficacy of disinfecting inanimate surfaces against coronavirus: a systematic review,C,0.0,2021.0
Coronavirus survival time on inanimate surfaces: a systematic review,C,0.0,2021.0
Risk factors associated with the stability of mini-implants and mini-plates: systematic review and meta-analysis,A1,100.0,2021.0
Is there scientific evidence of the mouthwashes effectiveness in reducing viral load in Covid-19? A systematic review,A4,70.0,2021.0
Effects of respiratory training on obstructive sleep apnea: systematic review and meta-analysis,A4,70.0,2021.0
Acoustic analysis of swallowing as an auxiliary method for assessing dysphagia in Parkinson's disease,C,0.0,2021.0
"Translation and, adaptation of the Hearing Protection Assessment Questionnaire (HPA-5) into Brazilian Portuguese",A3,80.0,2023.0
Social Isolation of Older Adults Living in a Neighbourhood of Montreal: A Qualitative Descriptive Study of the Perspectives of Older Adults and Community Stakeholders,A3,80.0,2023.0
Hearing health educational interventions for school students,B1,60.0,2023.0
Auditory and Vestibular Findings in Brazilian Adults Affected by COVID-19: An Exploratory Study,A2,90.0,2023.0
Hearing impairment among workers and satisfaction with the use of hearing aids,A4,70.0,2022.0
Effectiveness of the Brazilian version of the Dangerous Decibels program for workers,A4,70.0,2022.0
Avaliação do ruído e percepção de exposição dos trabalhadores em um Centro de Terapia Intensiva,B4,30.0,2022.0
Temporary and Permanent Auditory Effects Associated with Occupational Coexposure to Low Levels of Noise and Solvents,A1,100.0,2022.0
Fatores que interferem na participação social de idosos com perda auditiva,C,0.0,2022.0
Communication during the COVID-19 pandemic: The hearing-impaired perspective,A1,100.0,2022.0
Vestibular Function Evaluation in Endemic Diseases Combat Agents,B1,60.0,2021.0
Communication With Older Adults in Times of a Pandemic: Practical Suggestions for the Health Care Professionals,A1,100.0,2021.0
Findings on the Central Auditory Functions of Endemic Disease Control Agents,A1,100.0,2021.0
Percepção de alunos de Fonoaudiologia e Pedagogia acerca da linguagem escrita acadêmica,A3,80.0,2023.0
Letramento e acessibilidade no ensino superior: visões de professores,A2,90.0,2022.0
INSTRUMENTOS AVALIATIVOS ADOTADOS PARA A IMPLEMENTAÇÃO DE RECURSOS DE COMUNICAÇÃO SUPLEMENTAR E/OU ALTERNATIVA (CSA): UMA REVISÃO INTEGRATIVA,N,,2022.0
Tradutor e intérprete de Libras: visão de um grupo de professores do Ensino Superior,B2,50.0,2021.0
Is burning mouth syndrome associated with stress? A meta-analysis,A2,90.0,2023.0
Effect of Tinnitus on Sleep Quality and Insomnia,B1,60.0,2023.0
Prevalence of orofacial injuries resulting from trauma in individuals with cerebral palsy: A systematic review and meta-analysis,A2,90.0,2023.0
Acoustic analysis of swallowing sounds with the use of Sonar Doppler in premature babies during food transition,C,0.0,2022.0
"A randomized, double-blind controlled trial of the acute effects of Kinesio taping in patients with localized myogenic temporomandibular dysfunction",B3,40.0,2022.0
The Use of Exergames in the Neurorehabilitation of People with Parkinson Disease: The Impact on Daily Life,B1,60.0,2021.0
Adult Perfomance on the Sustained Auditory Attention Skill Test,B1,60.0,2021.0
Effect of respiratory therapy on patients with sleep bruxism and associated respiratory events: Study protocol for a randomized controlled clinical trial,C,0.0,2021.0
Evaluation of swallowing pattern sound in patients with temporomandibular disorder,C,0.0,2021.0
Desenvolvimento e validação do BATUTA: um teste para avaliação da percepção musical de pessoas com deficiência auditiva,A3,80.0,2023.0
Temporal auditory processing in people exposed to musical instrument practice,A3,80.0,2022.0
Qualidade de vida de idosos em atendimento clínico fonoaudiológico: uma análise quantitativa,C,0.0,2022.0
Perda auditiva induzida por ruído: participação do fonoaudiólogo em processos trabalhistas indenizatórios,B4,30.0,2022.0
Percepção de alunos de fonoaudiologia e pedagogia acerca das experiências e práticas de leitura e escrita de textos pertencentes ao gênero acadêmico,A3,80.0,2023.0
Cuidados paliativos na perspectiva de discentes dos cursos de fonoaudiologia e psicologia,B2,50.0,2023.0
Leitura como marcador da terapia fonoaudiológica grupal em pessoas com afasia subaguda,C,0.0,2022.0
Visão de idosos com perda auditiva e de seus cônjuges acerca de mudanças ocorridas em sua qualidade de vida durante a pandemia do COVID-19,C,0.0,2022.0
Trajetória dos Serviços de Cuidados Paliativos no Brasil: aspectos históricos e atuais,C,0.0,2022.0
Percepções sobre a atuação do enfermeiro às pessoas no fim de vida,B1,60.0,2021.0
Qualidade de vida e condições de saúde de idosos que buscam atendimento em uma clínica de fonoaudiologia,C,0.0,2021.0
Cuidadores de idosos: a percepção dos fatores que impactam sua qualidade de vida,B2,50.0,2021.0
O impacto intrafamiliar do diagnóstico da síndrome de Down: uma revisão integrativa,C,0.0,2021.0
Worldwide prevalence and associated risk factors of obstructive sleep apnea: a meta-analysis and meta-regression,A4,70.0,2023.0
Assessing the Association Between Temporomandibular Disorder in Contruction Workers and Genetic Polymorphisms in ANKK1 and DRD2,A2,90.0,2022.0
Viminol hydroxybenzoate as a non-narcotic analgesic pharmacological choic,N,,2022.0
Temporomandibular disorder in construction workers associated with ANKK1 and DRD2 genes,A2,90.0,2022.0
Ilex paraguariensis</i> extract as an alternative to pain medications,A4,70.0,2021.0
Disfunção temporomandibular e sono: revisão integrativa de literatura,B3,40.0,2021.0
Prevalence of Orofacial Pain in Adults with Cleft Lip/Palate,C,0.0,2021.0
Efeito do modelo de Cuidado Centrado no Paciente na satisfação do profissional de saúde: revisão sistemática,A3,80.0,2022.0
PREVALENCE OF OROFACIAL PAIN IN ADULTS WITH CLEFT LIP/PALATE,C,0.0,2021.0
Multiprofessional instrument for tracheal decannulation in adults: content validity,C,0.0,2022.0
Validação de um instrumento multiprofissional para rastreio do risco de broncoaspiração em ambiente hospitalar,C,0.0,2022.0
Instrumento multiprofissional para decanulação traqueal em adultos: evidência de validade baseada nos processos de resposta,C,0.0,2022.0
Accuracy of Acoustic Evaluation of Swallowing as a Diagnostic Method of Dysphagia in Individuals Affected by Stroke: Preliminary Analysis,A1,100.0,2021.0
Increasing access to justice for children: A brief report on the Brazilian Sign Language version of the NICHD protocol,A1,100.0,2023.0
Brief Assessment of Adaptive and Maladaptive Coping Strategies During Pandemic,A2,90.0,2023.0
Timidez e fobia social infanto-juvenil: quais instrumentos utilizar na investigação?,B1,60.0,2023.0
A qualitative analysis of child protection professionals' challenges during the COVID-19 pandemic,A1,100.0,2023.0
"Re-orientating systematic reviews to rigorously examine what works, for whom and how: Example of a realist systematic review of school-based prevention of dating and gender violence",A1,100.0,2023.0
Avaliação de Crenças sobre Violência no Namoro (ACVN): Um Novo Instrumento Brasileiro,A1,100.0,2022.0
Child protective services during COVID-19 and doubly marginalized children: International perspectives,A1,100.0,2022.0
Revisão integrativa sobre Resiliência Psicológica em publicações Brasileiras,B1,60.0,2022.0
Technologies and Mental Health in University Students: An Unhealthy Combination,B1,60.0,2022.0
Intervenção com policiais militares sobre violência contra o parceiro íntimo,A2,90.0,2022.0
Mulheres encarceradas: histórico de maus-tratos e exposição dos filhos à violência do parceiro íntimo,B1,60.0,2022.0
Adaptação e evidências de validade do Traumatic Grief Inventory para o Brasil,N,,2022.0
Revisão Integrativa sobre a Efetividade de Intervenções Preventivas do Abuso Sexual Infantil,A2,90.0,2022.0
Resilience during times of enduring challenge: Brazilian Child Protection Professionals' resilience and psychological distress one year into the COVID-19 pandemic,A1,100.0,2022.0
Uma revisão integrativa da literatura sobre os erros de percepção sexual,A2,90.0,2021.0
"Child maltreatment reports and Child Protection Service responses during COVID-19: Knowledge exchange among Australia, Brazil, Canada, Colombia, Germany, Israel, and South Africa",A1,100.0,2021.0
Evidências de validade de uma versão brasileira da Fear of COVID-19 Scale,A1,100.0,2021.0
Estudo de Caso sobre uma Intervenção Brasileira para Vítimas de Abuso Sexual Infantil,A4,70.0,2021.0
One year into COVID-19: What have we learned about child maltreatment reports and child protective service responses?,A1,100.0,2021.0
Percepção de familiares e autopercepção de idosos usuários de dispositivos de amplificação quanto à restrição de participação causada pela deficiência auditiva,B2,50.0,2023.0
O empoderamento de indivíduos com deficiência auditiva: revisão de literatura,B2,50.0,2023.0
Condutas não profissionais no uso das mídias sociais por estudantes da área da saúde: revisão de literatura,A3,80.0,2023.0
Bruxismo na População Pediátrica: Questionários no Português Brasileiro,B3,40.0,2022.0
Caracterização de podcasts brasileiros na área da fonoaudiologia,A3,80.0,2022.0
Auditory perception and oral language in brainstem auditory implant users: a scoping review,B1,60.0,2022.0
Efeitos da música na comunicação do idoso: panorama das pesquisas brasileiras,B3,40.0,2021.0
Conhecimentos básicos de pais de crianças submetidas a tratamento fonoaudiológico quanto à audição e linguagem,B3,40.0,2021.0
Avaliação da qualidade de informação na internet: websites sobre o uso do Sistema de Frequência Modulada,B1,60.0,2021.0
Conhecimento de professores sobre a inclusão de alunos com deficiência auditiva no ensino regular,B2,50.0,2021.0
Cinema e educação: relato de experiência de extensão durante a pandemia da COVID-19,B2,50.0,2021.0
Língua brasileira de sinais: A inclusão do surdo no ensino superior do Instituo Federal Paraná (IFPR) Campus Curitiba,C,0.0,2023.0
Desempenho cognitivo de idosos com perda auditiva,C,0.0,2023.0
"Análise das postagens em torno de surdez e educação realizadas na plataforma Youtube®, durante o período de pandemia decorrente da COVID-19",A2,90.0,2022.0
Could speech disorders in children with cleft lip and palate be justified by impaired central auditory skills?,B1,60.0,2023.0
Salivary Cortisol and Sustained Auditory Attention in Children with and without Cleft Lip and Palate,B1,60.0,2022.0
Hearing Impairment among Workers and Satisfaction with the use of Hearing Aids,A4,70.0,2022.0
Preliminary Study of the Applicability of Software in the investigation of Sustained Auditory Attention,B1,60.0,2022.0
Alterações fonoaudiológicas na hanseníase: revisão de literatura,B3,40.0,2022.0
